ID,Station,Latitude,Longitude
1609,홍대입구,37.5571098,126.9275504
1610,서울역,37.5564073,126.971333
1611,신촌,37.5597706,126.9423666
1612,가좌,37.5687984,126.9149612
1613,디지털미디어시티,37.5775083,126.9004835
1614,수색,37.5808606,126.8956951
1615,화전,37.6029081,126.8683865
1616,행신,37.612119,126.8343171
1617,능곡,37.6187476,126.8208545
1618,대곡,37.6319767,126.8097732
1619,곡산,37.645903,126.8017185
1620,백마,37.6582116,126.7944965
1621,풍산,37.6721825,126.7863663
1622,일산,37.6820088,126.7700598
1623,탄현,37.6938932,126.7611803
1624,운정,37.7254269,126.7670809
1625,금릉,37.7513071,126.7654255
1626,금촌,37.7661205,126.7745325
1627,월롱,37.7962173,126.792609
1628,파주,37.8153925,126.7924505
1629,문산,37.854587,126.7878411
1631,임진강,37.888424,126.7469467
1635,강매,37.6122702,126.8444681
1636,야당,37.7126654,126.7614037
1701,기흥,37.2754707,127.1167491
1702,강남대,37.2701968,127.1260071
1703,지석,37.2697106,127.1366128
1704,어정,37.2749437,127.1437434
1705,동백,37.2691123,127.1527207
1706,초당,37.2608426,127.1594612
1707,삼가,37.2421434,127.1681063
1708,시청용인대,37.2393998,127.1788391
1709,명지대,37.238068,127.1902816
1710,김량장,37.2373025,127.1986559
1711,운동장송담대,37.2378989,127.2090662
1712,고진,37.2446942,127.2142222
1713,보평,37.259028,127.2184648
1714,둔전,37.2671545,127.2136254
1715,전대에버랜드,37.285388,127.2195318
1806,청량리,37.5811595,127.0487715
1807,회기,37.5897923,127.0581826
1808,중랑,37.5950255,127.0766605
1809,광운대,37.6237828,127.0618605
1810,상봉,37.5972545,127.0859789
1811,망우,37.5999462,127.0916503
1812,신내,37.6127859,127.1032491
1813,갈매,37.6341427,127.1148218
1814,별내,37.6422712,127.1274395
1815,퇴계원,37.648288,127.1436414
1816,사릉,37.6511518,127.176858
1817,금곡,37.6373638,127.2076199
1818,평내호평,37.6532218,127.2445494
1819,천마산,37.6590109,127.2853933
1820,마석,37.6527993,127.3117893
1821,대성리,37.6838659,127.3795092
1822,청평,37.7355415,127.4266782
1823,상천,37.7700396,127.4544338
1824,가평,37.8145184,127.5107313
1825,굴봉산,37.8320883,127.5577551
1826,백양리,37.8308826,127.5891079
1827,강촌,37.8057443,127.6341726
1828,김유정,37.8183649,127.714198
1829,남춘천,37.8640709,127.723785
1830,춘천,37.8844444,127.7166579
1907,신사,37.5160748,127.0195796
1908,논현,37.5102708,127.0217468
1909,신논현,37.503445,127.0249977
1910,강남,37.4963731,127.0283576
1911,양재,37.4835997,127.0348766
1912,양재시민의숲,37.4699132,127.038396
1913,청계산입구,37.4482647,127.0546971
1914,판교,37.3947763,127.1111601
1915,정자,37.3677228,127.108455
1916,미금,37.3488461,127.1089129
1917,동천,37.337795,127.1028451
1918,수지구청,37.3226221,127.0948906
1919,성복,37.313557,127.0803411
1920,상현,37.2978736,127.0693559
1921,광교중앙(아주대),37.2885031,127.051533
1922,광교(경기대),37.302087,127.0441981
4001,서울역,37.5537439,126.9697747
4002,공덕,37.5424319,126.9518964
4003,홍대입구,37.5577069,126.9266134
4004,디지털미디어시티,37.5770602,126.8986603
4005,김포공항,37.5617405,126.8027309
4006,계양,37.5717656,126.7362988
4007,검암,37.5692527,126.6736627
4008,운서,37.4927763,126.4938642
4009,공항화물청사,37.4590673,126.4775043
4010,인천공항1터미널,37.4474699,126.4524614
4011,청라국제도시,37.5564036,126.6246985
4012,영종,37.5120812,126.5250848
4013,인천공항2터미널,37.4688906,126.4333512
